,image,nonexpert_labels,cleaned_nonexpert_label,expert_label,final_label,day
0,3J6A0403.JPG,"Hemostasis,Hemostasis,Hemostasis",Hemostasis,Hemostasis,Hemostasis,0
1,3J6A0408.JPG,"Hemostasis,Hemostasis,Hemostasis",Hemostasis,Inflammatory,Hemostasis,0
2,3J6A0413.JPG,"Hemostasis,Hemostasis,Hemostasis",Hemostasis,Inflammatory,Hemostasis,0
3,3J6A0418.JPG,"Hemostasis,Hemostasis,Hemostasis",Hemostasis,Hemostasis,Hemostasis,0
4,3J6A0474.JPG,"Hemostasis,Inflammatory,Hemostasis",Hemostasis,Inflammatory,Hemostasis,0
5,3J6A0479.JPG,"Inflammatory,Inflammatory,Hemostasis",Inflammatory,Inflammatory,Hemostasis,0
6,3J6A0423.JPG,"Hemostasis,Hemostasis,Hemostasis",Hemostasis,Inflammatory,Hemostasis,0
7,3J6A0534.JPG,"Inflammatory,Inflammatory,Hemostasis",Inflammatory,Inflammatory,Hemostasis,0
8,3J6A0484.JPG,"Inflammatory,Inflammatory,Hemostasis",Inflammatory,4,Hemostasis,0
9,3J6A0489.JPG,"Hemostasis,Hemostasis,Hemostasis",Hemostasis,Inflammatory,Hemostasis,0
10,3J6A0494.JPG,"Hemostasis,Hemostasis,Inflammatory",Hemostasis,Inflammatory,Hemostasis,0
11,3J6A0499.JPG,"Hemostasis,Hemostasis,Hemostasis",Hemostasis,Hemostasis,Hemostasis,0
12,3J6A0545.JPG,"Inflammatory,Inflammatory,Hemostasis",Inflammatory,Hemostasis,Hemostasis,0
13,3J6A0550.JPG,"Hemostasis,Hemostasis,Hemostasis",Hemostasis,Proliferative,Hemostasis,0
14,3J6A0555.JPG,"Inflammatory,Hemostasis,Hemostasis",Hemostasis,Proliferative,Hemostasis,0
15,3J6A0560.JPG,"Hemostasis,Hemostasis,Hemostasis",Hemostasis,Proliferative,Hemostasis,0
16,3J6A0540.JPG,"Inflammatory,Inflammatory,Hemostasis",Inflammatory,Inflammatory,Hemostasis,0
17,3J6A0428.JPG,"Hemostasis,Inflammatory,Hemostasis",Hemostasis,Proliferative,Hemostasis,0
18,3J6A0595.JPG,"Inflammatory,Inflammatory,Hemostasis",Inflammatory,Inflammatory,Hemostasis,0
19,3J6A0600.JPG,"Hemostasis,Hemostasis,Hemostasis",Hemostasis,Inflammatory,Hemostasis,0
20,3J6A0615.JPG,"Inflammatory,Inflammatory,Inflammatory",Inflammatory,Inflammatory,Hemostasis,0
